id,name,jp_name,type,episodes,studio,release_season,tags,rating,release_year,end_year,content_warning
584,My Roommate is a Cat," Doukyonin wa Hiza, Tokidoki, Atama no Ue.",TV   ,12,Zero-G,Winter,"Comedy, Slice of Life, Animal Protagonists, Cats, Iyashikei, Non-Human Protagonists, Pets, Writers, Based on a Manga",4.09,2019,,
585,Space Dandy 2,,TV   ,13,Bones,Summer,"Adventure, Comedy, Sci Fi, Aliens, Bounty Hunters, Breaking the Fourth Wall, Episodic, Outer Space, Parody, Robots, Original Work",4.09,2014,,
586,Somali and the Forest Spirit, Somali to Mori no Kami-sama,TV   ,12,SATELIGHT,Winter,"Adventure, Fantasy, Seinen, Slice of Life, Childcare, Forest, Lifestyle Change, Monsters, Non-Human Protagonists, Orphans, Single Parent, Based on a Manga, Violence",4.09,2020,,Violence
587,The House of Small Cubes,"Alt titles: La Maison en Petits Cubes, Tsumiki no Ie",Movie,,Oh production,,"Drama, Fantasy, Aging, Loneliness, Melancholy, No Dialogue, Ocean, Shorts, Original Work",4.09,2008,,
588,Tsukimichi: Moonlit Fantasy, Tsuki ga Michibiku Isekai Douchuu,TV   ,12,C2C,Summer,"Action, Adventure, Comedy, Fantasy, Shounen, Isekai, Kingdom Building, Magic, Modern Knowledge, Monsters, Overpowered Main Characters, Person in a Strange World, RPG, Summoned Into Another World, Based on a Light Novel, Violence",4.09,2021,,Violence
589,Hajime no Ippo: The Fighting! Special, Fighting Spirit Special,DVD S,,MADHOUSE,,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Based on a Manga",4.09,2003,,
590,Tokyo Magnitude 8.0,,TV   ,11,Bones,Summer,"Drama, Earthquake, Melancholy, Natural Disaster, noitaminA, Siblings, Survival, Original Work",4.09,2009,,
591,Detective Conan Movie 10: The Private Eyes' Requiem, Meitantei Conan Movie 10: Tantei-tachi no Requiem,Movie,,TMS Entertainment,,"Mystery, Shounen, Age Transformation, Detectives, Police, Thieves, Thriller, Based on a Manga",4.09,2006,,
592,Gintama: Jump Festa 2005,,Other,,Sunrise,,"Action, Comedy, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Based on a Manga",4.09,2005,,
593,Overlord: The Undead King, Overlord: Fushisha no Ou,Movie,,MADHOUSE,,"Action, Adventure, Fantasy, Dark Fantasy, Isekai, Magic, Overpowered Main Characters, Person in a Strange World, Recap, RPG, Skeletons, Trapped in a Video Game, Virtual Reality, Based on a Light Novel, Violence",4.09,2017,,Violence
594,Ne Zha, Ne Zha Zhi Mo Tong Jiang Shi,Movie,,,,"Action, Comedy, Fantasy, Chinese Animation, Crude, Curse, Dragons, Family Friendly, Based on a Fairy Tale, CG Animation",4.09,2019,,
595,Blue Period.,,Web  ,12,Seven Arcs,Fall ,"Drama, Seinen, Art, Psychological, School Club, School Life, Based on a Manga",4.09,2021,,
596,Fairy Tail Movie 2: Dragon Cry,,Movie,,A-1 Pictures,,"Action, Fantasy, Shounen, Guilds, Magic, Based on a Manga",4.09,2017,,
597,Fire Force, Enn Enn no Shouboutai,TV   ,24,David Production,Summer,"Action, Comedy, Drama, Ecchi, Shounen, Elemental Powers, Firefighters, Supernatural, Superpowers, Based on a Manga, Violence",4.09,2019,,Violence
598,Erin, Kemono no Souja Erin,TV   ,50,Production I.G,Winter,"Adventure, Drama, Fantasy, Slice of Life, Coming of Age, Countryside, Family Friendly, Medieval, Political, Based on a Novel, Animal Abuse, Mature Themes",4.09,2009,,"Animal Abuse, Mature Themes"
599,"BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.", Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,TV   ,12,SILVER LINK.,Winter,"Action, Adventure, Comedy, Fantasy, Sci Fi, Guilds, MMORPG, Overpowered Main Characters, PVE, PVP, RPG, Tournaments, Virtual Reality, Based on a Light Novel",4.08,2020,,
600,Touhou Gensou Mangekyou: The Memories of Phantasm,,OVA  ,16,,,"Fantasy, Japanese Mythology, Magic, Based on a Doujinshi, Based on a Video Game",4.08,2011,,
601,Haikyuu!! Lev Kenzan!, Haikyuu!! Jump Festa 2014 Special,Other,,Production I.G,,"Shounen, Sports, School Club, Volleyball, Based on a Manga",4.08,2014,,
602,Broken Blade Movie 4: The Land of Calamity, Break Blade Movie 4: Sanka no Chi,Movie,,Production I.G,,"Action, Fantasy, Mecha, Magic, Military, War, Violence",4.08,2010,,Violence
603,Yowamushi Pedal, Yowapeda,TV   ,38,8 Pan,Fall ,"Shounen, Sports, Cycling, Racing, School Club, School Life, Tournaments, Based on a Manga",4.08,2013,2014,
604,Gurren Lagann Movie 1: Childhood's End, Tengen Toppa Gurren Lagann Movie 1: Guren-hen,Movie,,GAINAX,,"Action, Adventure, Comedy, Mecha, Sci Fi, Combining Mecha, Recap, Super Robot, Original Work",4.08,2008,,
605,The Secret World of Arrietty,"Alt titles: Karigurashi no Arrietty, The Borrower Arrietty",Movie,,Studio Ghibli,,"Fantasy, Contemporary Fantasy, Family Friendly, Based on a Novel",4.08,2010,,
606,Detective Conan Movie 4: Captured In her Eyes, Meitantei Conan Movie 4: Hitomi no Naka no Ansatsusha,Movie,,TMS Entertainment,,"Mystery, Romance, Shounen, Age Transformation, Amnesia, Amusement Park, Detectives, Police, Based on a Manga, Violence",4.08,2000,,Violence
607,Working!!!, Wagnaria!! 3,TV   ,13,A-1 Pictures,Summer,"Comedy, Romance, Seinen, Slice of Life, Androphobia, Coworkers, Restaurants, Work Life, Based on a 4-Koma Manga, Based on a Manga",4.08,2015,,
608,Slayers Next,,TV   ,26,E&G Films,,"Adventure, Comedy, Fantasy, Magic, Medieval, Based on a Light Novel",4.08,1996,,
609,A Day Before Us 2,,Web  ,15,LICO,,"Romance, Korean Animation, Short Episodes, Original Work",4.08,2018,,
610,Detroit Metal City,,OVA  ,12,Studio 4°C,,"Comedy, Seinen, Crude, Music, Parody, Rock Music, Satire, Secret Identity, Showbiz, Based on a Manga",4.08,2008,,
611,Kanon (2006),,TV   ,24,Kyoto Animation,Fall ,"Comedy, Drama, Harem, Romance, Supernatural, Transfer Students, Based on a Visual Novel",4.08,2006,2007,
612,Silver Spoon, Gin no Saji,TV   ,11,A-1 Pictures,Summer,"Comedy, Shounen, Slice of Life, Agriculture, Coming of Age, Lifestyle Change, noitaminA, School Life, Based on a Manga",4.08,2013,,
613,Liang Bu Yi,"Alt titles: No Doubt In Us, The Emperor's New Body",Web  ,12,Paper Plane,,"Comedy, Romance, Ancient China, Body Swapping, Chibi, Chinese Animation, Gender Bender, Political, Royalty, Based on a Webtoon, CG Animation",4.08,2021,,
614,Wu Dong Qiankun,,Web  ,12,Motion Magic,,"Action, Adventure, Fantasy, Chinese Animation, Cultivation, Martial Arts, Based on a Web Novel, CG Animation",4.08,2019,,
615,Soul Eater,,TV   ,51,Bones,Spring,"Action, Fantasy, Shounen, Demons, Monster School, School Life, Shinigami, Supernatural, Based on a Manga",4.08,2008,2009,
616,Aggretsuko 3, Aggressive Retsuko 3,Web  ,10,Fanworks,Summer,"Comedy, Animal Protagonists, Anthropomorphic, Coworkers, Debt, Idols, Music, Non-Human Protagonists, Sanrio Characters, Work Life, Original Work",4.08,2020,,
617,Lupin III: The First,,Movie,,TMS Entertainment,,"Seinen, Criminals, Thieves, Based on a Manga, CG Animation",4.08,2019,,
618,Attack on Titan Movie 4: Chronicle, Shingeki no Kyojin Movie 4: Chronicle,Movie,,WIT Studio,,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Overpowered Main Characters, Post-apocalyptic, Recap, Revenge, Based on a Manga, Violence",4.08,2020,,Violence
619,Ling Jian Zun 4th Season, Spirit Sword Master 4th Season,Web  ,10,Soyep,,"Action, Fantasy, Ancient China, Chinese Animation, Cultivation, Short Episodes, Based on a Web Novel, CG Animation",4.08,2020,2021,
620,Aggretsuko 2, Aggressive Retsuko 2,Web  ,10,Fanworks,Spring,"Comedy, Animal Protagonists, Anthropomorphic, Coworkers, Music, Non-Human Protagonists, Sanrio Characters, Work Life, Original Work",4.08,2019,,
